Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
ACCT,100,Introduction to Accounting for Non-Business Majors,Lecture,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Dallin Smith,45,41,4
ACCT,101,Introduction to Financial Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Anthony Bucaro,45,45,0
ACCT,101,Introduction to Financial Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,MW 12:45 PM - 2:00 PM,Web/Distance Learning,Anthony Bucaro,45,44,1
ACCT,102,Management Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 10:00 AM - 11:15 AM,Web/Distance Learning,Karen Braun,45,46,-1
ACCT,102,Management Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 2:30 PM - 3:45 PM,Web/Distance Learning,Karen Braun,45,43,2
ACCT,300,Corporate Reporting I,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 11:30 AM - 12:45 PM,Web/Distance Learning,Heidi Blakeway-Phillips,40,17,23
ACCT,301,Corporate Reporting II,Lecture,02/01/2021 - 05/07/2021,3 units,MW 12:45 PM - 2:00 PM,Web/Distance Learning,Heidi Blakeway-Phillips,40,27,13
ACCT,305,"Income Tax: Concepts, Skills, Planning",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 1:00 PM - 2:15 PM,Peter B Lewis 05,"Tiffany Schwendeman,Timothy Fogarty",40,30,10
ACCT,305,"Income Tax: Concepts, Skills, Planning",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 1:00 PM - 2:15 PM,Web/Distance Learning,Timothy Fogarty,40,30,10
ACCT,307,Applied Analytics for Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Thomas King,45,23,22
ACCT,314,Attestation and Assurance Services,Lecture,02/01/2021 - 05/07/2021,3 units,MW 10:35 AM - 11:50 AM,Web/Distance Learning,Melissa Carlisle,40,28,12
ACCT,400,Introduction to Accounting for Non-Business Majors,Lecture,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Dallin Smith,45,41,4
ACCT,406,Advanced Accounting Information Systems,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 3:00 PM - 5:30 PM,Web/Distance Learning,Anthony Bucaro,45,17,28
ACCT,414,Corporate Reporting and Analysis,Lecture,02/01/2021 - 05/07/2021,3 units,W 6:00 PM - 8:00 PM,Web/Distance Learning,Gregory Jonas,45,20,25
ACCT,431,"Tax Practice: Analysis, Planning and Communications",Lecture,02/01/2021 - 05/07/2021,3 units,M 3:00 PM - 5:30 PM,Web/Distance Learning,David Johnson,45,11,34
ACCT,444,Advanced Auditing Theory and Practice,Lecture,02/01/2021 - 05/07/2021,3 units,M 9:00 AM - 11:30 AM,Web/Distance Learning,John Keyser,45,36,9
ACCT,501,Special Problems and Topics,Independent Study,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Thomas King,45,23,22
ACCT,540,Corporate Governance and Contemporary Accounting Policy,Seminar,02/01/2021 - 05/07/2021,3 units,Tu 9:00 AM - 11:30 AM,Web/Distance Learning,Thomas King,45,35,10
ACCT,701,Dissertation Ph.D.,Dissertation,02/01/2021 - 05/07/2021,1 - 9 units,TBA ,Web/Distance Learning,Timothy Fogarty,999,4,995
AFST,202,Race and Ethnic Minorities in The United States,Lecture,02/01/2021 - 05/07/2021,3 units,MWF 11:40 AM - 12:30 PM,Web/Distance Learning,Staff,50,17,33
AFST,212,History of Rock and Roll,Lecture,02/01/2021 - 05/07/2021,3 units,MW 4:50 PM - 6:05 PM,Web/Distance Learning,Aaron McPeck,17,17,0
AFST,212,History of Rock and Roll,Lecture,02/01/2021 - 05/07/2021,3 units,MW 4:50 PM - 6:05 PM,Web/Distance Learning,Kelli Minelli,17,12,5
AFST,258,History of Southern Africa,Lecture,01/08/2021 - 01/29/2021,3 units,MTuWThF 9:00 AM - 11:20 AM,Web/Distance Learning,Jonathan Sadowsky,999,21,978
AFST,295,The Francophone World,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 11:30 AM - 12:45 PM,Web/Distance Learning,Gilbert Doho,15,14,1
ANAT,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Scott Simpson,6,0,6
ANAT,411,Gross Anatomy,Laboratory,02/01/2021 - 05/07/2021,6 units,MWF 1:00 PM - 4:00 PM,Robbins Building EG20,Darin Croft,80,48,32
ANAT,411,Gross Anatomy,Laboratory,02/01/2021 - 05/07/2021,6 units,TBA ,Web/Distance Learning,Darin Croft,80,48,32
ANAT,467,Topics in Evolutionary Biology,Lecture,02/01/2021 - 05/07/2021,3 units,F 5:00 PM - 7:30 PM,Web/Distance Learning,Patricia Princehouse,999,36,963
ANAT,499,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Scott Simpson,2,1,1
ANAT,499,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Andrew Crofton,3,1,2
ANAT,499,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Darin Croft,1,1,0
